id;type;loc_num;adresse;cp;commune;code_insee;longueur;largeur;lim_vitesse;sens;h_debut;h_fin;tonnage;geo_shape;geo_point_2d
92044106;LIVRAISON;DROIT;37 RUE CARNOT;92300;LEVALLOIS PERRET;92044;7.5;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.287719432616781, 48.890599852458784], ""type"": ""Point""}";48.890599852458784,2.287719432616781
92044117;LIVRAISON;DROIT;47 RUE DU PRESIDENT WILSON;92300;LEVALLOIS PERRET;92044;50.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2905147198582854, 48.891849106529804], ""type"": ""Point""}";48.891849106529804,2.2905147198582854
92044124;LIVRAISON;DROIT;56 RUE ARISTIDE BRIAND;92300;LEVALLOIS PERRET;92044;9.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.286228134598593, 48.891459142107536], ""type"": ""Point""}";48.891459142107536,2.286228134598593
92044125;LIVRAISON;DROIT;70 RUE ANATOLE FRANCE;92300;LEVALLOIS PERRET;92044;19.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.285319562179359, 48.89184659787586], ""type"": ""Point""}";48.89184659787586,2.285319562179359
92049012;LIVRAISON;DROIT;18 RUE GERMAIN DARDAN;92120;MONTROUGE;92049;19.5;0.0;50;UNIQUE;07:00;13:00;0.0;"{""coordinates"": [2.3023484997854253, 48.81247672738506], ""type"": ""Point""}";48.81247672738506,2.3023484997854253
92049021;LIVRAISON;FACE;85 RUE PERIER;92120;MONTROUGE;92049;5.0;0.0;50;UNIQUE;07:00;13:00;0.0;"{""coordinates"": [2.31135028743198, 48.81557827012443], ""type"": ""Point""}";48.81557827012443,2.31135028743198
92049024;LIVRAISON;DROIT;136 AVENUE MAX DORMOY;92120;MONTROUGE;92049;19.5;0.0;50;DOUBLE;07:00;13:00;0.0;"{""coordinates"": [2.3115818180761276, 48.81039373564029], ""type"": ""Point""}";48.81039373564029,2.3115818180761276
92049026;LIVRAISON;DROIT;110 AVENUE MAX DORMOY;92120;MONTROUGE;92049;9.0;0.0;50;DOUBLE;07:00;13:00;0.0;"{""coordinates"": [2.3136041857116125, 48.81022364433694], ""type"": ""Point""}";48.81022364433694,2.3136041857116125
92049028;LIVRAISON;DROIT;18 RUE MOLIERE;92120;MONTROUGE;92049;10.0;0.0;50;UNIQUE;07:00;13:00;0.0;"{""coordinates"": [2.314803423210942, 48.81113401059364], ""type"": ""Point""}";48.81113401059364,2.314803423210942
92049035;LIVRAISON;DROIT;10 RUE AUBERT;92120;MONTROUGE;92049;10.0;0.0;50;DOUBLE;07:00;13:00;0.0;"{""coordinates"": [2.31350245234078, 48.81291331168335], ""type"": ""Point""}";48.81291331168335,2.31350245234078
92049039;LIVRAISON;DROIT;61 RUE CARVES;92120;MONTROUGE;92049;13.0;0.0;50;UNIQUE;07:00;13:00;0.0;"{""coordinates"": [2.3203676221947025, 48.81291894567342], ""type"": ""Point""}";48.81291894567342,2.3203676221947025
92049060;LIVRAISON;FACE;15 RUE MARCELLIN BERTHELOT;92120;MONTROUGE;92049;7.0;0.0;50;UNIQUE;07:00;13:00;0.0;"{""coordinates"": [2.3170857034370718, 48.817301000200295], ""type"": ""Point""}";48.817301000200295,2.3170857034370718
92049066;LIVRAISON;DROIT;22 RUE GABRIEL PERI;92120;MONTROUGE;92049;12.0;0.0;50;DOUBLE;07:00;13:00;0.0;"{""coordinates"": [2.3219956554028864, 48.81813578714925], ""type"": ""Point""}";48.81813578714925,2.3219956554028864
